,stock,company,change,perc_change,vol_mean_3m,market_cap
0,FNOR11.SA,Finor -Ci Fund,"+0,1200","+14,29%","2,676M",N/A
1,PETR4.SA,Petróleo Brasileiro S.A. - Petrobras,"-0,04","-0,12%","42,444M","461,211B"
2,CIEL3.SA,Cielo S.A.,"-0,02","-0,35%","23,694M","15,189B"
3,COGN3.SA,Cogna Educação S.A.,"-0,0100","-0,60%","34,6M","3,114B"
4,AMER3.SA,Americanas S.A.,"+0,0100","+2,44%","17,417M","370,034M"
5,ITUB4.SA,Itaú Unibanco Holding S.A.,"+0,40","+1,28%","23,39M","288,766B"
6,HAPV3.SA,Hapvida Participações e Investimentos S.A.,"-0,0200","-0,53%","67,444M","27,954B"
7,MGLU3.SA,Magazine Luiza S.A.,"-0,24","-2,10%","16,3M","8,242B"
8,ITSA4.SA,Itaúsa S.A.,"+0,05","+0,52%","19,633M","99,521B"
9,BBDC4.SA,Banco Bradesco S.A.,"+0,07","+0,55%","34,373M","129,099B"
10,PETR3.SA,Petróleo Brasileiro S.A. - Petrobras,"-0,15","-0,41%","12,422M","459,852B"
11,AZUL4.SA,Azul S.A.,"-0,06","-0,66%","13,203M","3,148B"
12,B3SA3.SA,"B3 S.A. - Brasil, Bolsa, Balcão","+0,02","+0,19%","46,228M","56,95B"
13,VALE3.SA,Vale S.A.,"-0,46","-0,76%","20,157M","257,079B"
14,NTCO3Q.SA,GRUPO NATURAON      NM,"+0,09","+0,61%",N/A,N/A
15,CMIG4.SA,Companhia Energética de Minas Gerais - CEMIG,"+0,04","+0,40%","14,585M","30,997B"
16,NVDC34.SA,NVIDIA Corporation,"+0,11","+0,74%","6,503M","17,675T"
17,BBAS3.SA,Banco do Brasil S.A.,"-0,11","-0,42%","16,76M","150,347B"
18,IFCM3.SA,Infracommerce CXaaS S.A.,"-0,0200","-5,41%","11,758M","216,744M"
19,CVCB3.SA,CVC Brasil Operadora e Agência de Viagens S.A.,"-0,0200","-0,99%","18,291M","1,046B"
20,ABEV3.SA,Ambev S.A.,"+0,01","+0,09%","30,084M","176,92B"
21,EMBR3.SA,Embraer S.A.,"-0,15","-0,40%","7,079M","27,314B"
22,BOVV11.SA,It Now Ibovespa Fundo de Indice,"-0,48","-0,39%","1,792M",N/A
23,BBDC3.SA,Banco Bradesco S.A.,"+0,02","+0,18%","6,879M","128,625B"
24,DASA3.SA,Diagnósticos da América S.A.,"-0,1600","-3,79%","1,08M","3,034B"
